drink,drink_id,Category,cocktail_pic,Ingredients,Instructions
Stone Sour,12308,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vruvtp1472719895.jpg,"1 oz  Apricot brandy,  1 oz  Orange juice, ","Shake all ingredients with ice, strain into a chilled whiskey sour glass, and serve."
Strawberry Daiquiri,12316,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/deu59m1504736135.jpg,"1/2 oz  Strawberry schnapps,  1 oz  Light rum, 1 oz  Lime juice, 1 tsp  Powdered sugar, 1 oz  Strawberries",Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.
Strawberry Lemonade,13036,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/spvvxp1468924425.jpg,"Juice of 1  Lemon,  1 tblsp  Sugar, 8-10 ripe  Strawberries, 1 cup  Water",Throw everything into a blender and mix until fairly smooth. Serve over ice.
Strawberry Margarita,12322,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/tqyrpw1439905311.jpg,"1/2 oz  Strawberry schnapps,  1 oz  Tequila, 1/2 oz  Triple sec, 1 oz  Lemon juice, 1 oz  Strawberries, 
 Salt","Rub rim of cocktail glass with lemon juice and dip rim in salt. Shake schnapps, tequila, triple sec, lemon juice, and strawberries with ice, strain into the salt-rimmed glass, and serve."
Strawberry Shivers,12722,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/9h1vvt1487603404.jpg,"1 1/2 cup  Strawberries,  4 tsp  Honey, 1/2 oz  Triple sec","Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up."
Sunny Holiday Punch,13042,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/rywtwy1468924758.jpg,"46 oz chilled  Pineapple juice,  28 oz  Club soda, 6 oz frozen  Orange juice, 1  Lemon, 2 cups  Berries, 1 bottle  Champagne",Combine all ingredients in a punch bowl.
Surf City Lifesaver,12760,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/2rzfer1487602699.jpg,"1 part  Ouzo,  1 part  Bailey's irish cream, 2 parts  Gin, 1/2 part  Grand Marnier",Lots of ice and soda top up in tall glass with cherry and a grin.
Swedish Coffee,15521,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/ywtrvt1441246783.jpg,"1 cup Coffee,  4 cl  Aquavit, 2 parts  Gin",Pour the coffee in an ordinary coffee cup. Add the aquavit. Add sugar by taste. Stir and have a nice evening (morning)
Sweet Bananas,12724,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/sxpcj71487603345.jpg,"2 cups  Milk,  1  Banana, By taste  Sugar","Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up."
Sweet Sangria,13024,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/uqqvsp1468924228.jpg,"2 bottles  Red wine,  1 cup  Sugar, 2 cups hot  Water, 1 cup  Apple,  wedges
 Orange,  wedges
 Lime, 
 Lemon, 
 Fresca","Dissolve the sugar in hot water and cool. Peel the citrus fruits and break into wedges. Mix the wine, sugar syrup, fruit, and Fresca in a pitcher and put in the fridge for a few hours. Serve in tall glasses with a straw."
Sweet Tooth,16990,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/j6rq6h1503563821.jpg,"2 shots  Godiva liqueur,  
 Milk","Put 2 shots Godiva Liquour into a glass, add as much or as little milk as you would like."
Talos Coffee,14860,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/rswqpy1441246518.jpg,"3 parts  Grand Marnier,  1 part  Coffee",Add your GM and then add your coffee.
Tennesee Mud,15515,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/txruqv1441245770.jpg,"8 oz  Coffee,  4 oz  Jack Daniels, 4 oz  Amaretto, 
 Whipped cream","Mix Coffee, Jack Daniels and Amaretto. Add Cream on top."
Tequila Fizz,12362,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/2bcase1504889637.jpg,"2 oz  Tequila,  1 tblsp  Lemon juice, 3/4 oz  Grenadine, 1  Egg white, 
 Ginger ale","Shake all ingredients (except ginger ale) with ice and strain into a collins glass over ice cubes. Fill with ginger ale, stir, and serve."
Tequila Sour,12370,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ek0mlq1504820601.jpg,"2 oz  Tequila,  Juice of 1/2  Lemon, 1 tsp  Powdered sugar, 1/2 slice  Lemon, 1  Cherry","Shake tequila, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Add the half-slice of lemon, top with the cherry, and serve."
Tequila Sunrise,13621,Cocktail,http://www.thecocktaildb.com/images/media/drink/quqyqp1480879103.jpg,"2 measures  Tequila,  ","Pour the tequila and orange juice into glass over ice. Add the grenadine, which will sink to the bottom. Stir gently to create the sunrise effect. Garnish and serve."
Tequila Surprise,14602,Shot,http://www.thecocktaildb.com/images/media/drink/8189p51504735581.jpg,"full glass  Tequila,  About 8 drops  Tabasco sauce",Fill shot glass with Tequila. Add drops of Tobasco sauce.
Texas Rattlesnake,15178,Shot,http://www.thecocktaildb.com/images/media/drink/rtohqp1504889750.jpg,"1 part  Yukon Jack,  1/2 part  Cherry brandy, 1 part  Southern Comfort, 1 splash  Sweet and sour","Mix all ingredients and Shake well. Sweet at first, with a BITE at the end..."
Texas Sling,15639,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/ypl13s1504890158.jpg,"1/2 oz  Kahlua,  1/2 oz  Irish cream, 1/2 oz  Amaretto, 1/2 oz Bacardi  151 proof rum, 1 oz  Cream","Blend with Ice until smooth. Serve in a tulip glass, top with whip cream."
Thai Coffee,12782,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/wquwxs1441247025.jpg,"6 tblsp ground Coffee,  1/4 tsp  Coriander, 1/2 oz  Amaretto","Place the coffee and spices in the filter cone of your coffee maker. Brew coffee as usual, let it cool. In a tall glass, dissolve 1 or 2 teaspoons of sugar in an ounce of the coffee (it's easier to dissolve than if you put it right over ice). Add 5-6 ice cubes and pour coffee to within about 1 inch of the top of the glass. Rest a spoon on top of the coffee and slowly pour whipping cream into the spoon. This will make the cream float on top of the coffee rather than dispersing into it right away."
